area,time,weather,hard_day,festival_flag,app
Koramangala,20,Cloudy,0,0,Zomato
Marathahalli,11,Clear,1,1,Zomato
Malleshwaram,20,Cloudy,0,1,Zomato
Electronic City,10,Hot,1,1,Zepto
Jayanagar,15,Rainy,0,0,Swiggy
Marathahalli,21,Rainy,1,0,Swiggy
Malleshwaram,9,Hot,0,1,Zepto
Malleshwaram,11,Rainy,0,0,Swiggy
Koramangala,19,Cloudy,1,1,Zomato
Electronic City,13,Hot,0,0,Zepto
Electronic City,15,Clear,1,0,Zomato
Jayanagar,18,Hot,0,0,Swiggy
Marathahalli,9,Rainy,1,1,Swiggy
Marathahalli,14,Hot,0,0,Zomato
Hebbal,21,Clear,1,0,Zomato
Malleshwaram,18,Rainy,1,0,Swiggy
Malleshwaram,16,Cloudy,0,0,Swiggy
Electronic City,18,Cloudy,0,1,Swiggy
Jayanagar,17,Cloudy,1,1,Swiggy
Malleshwaram,12,Cloudy,0,0,Zomato
Electronic City,12,Rainy,1,1,Zomato
Marathahalli,8,Hot,0,1,Zepto
Whitefield,10,Cloudy,1,1,Zepto
Electronic City,14,Rainy,1,0,Zomato
Indiranagar,9,Hot,1,1,Zepto
Electronic City,22,Cloudy,1,0,Zepto
Electronic City,15,Clear,0,0,Zomato
HSR Layout,17,Rainy,1,0,Swiggy
HSR Layout,23,Rainy,1,0,Swiggy
Hebbal,20,Hot,0,1,Zomato
Malleshwaram,15,Cloudy,0,0,Swiggy
Koramangala,10,Rainy,1,0,Swiggy
Marathahalli,17,Cloudy,0,0,Swiggy
Marathahalli,15,Cloudy,1,0,Swiggy
Indiranagar,17,Clear,1,1,Zomato
Koramangala,20,Clear,0,0,Zomato
Hebbal,10,Cloudy,0,0,Zepto
Jayanagar,12,Hot,1,1,Zomato
Hebbal,17,Rainy,0,0,Swiggy
Yelahanka,15,Hot,0,0,Zepto
Hebbal,15,Rainy,1,0,Swiggy
Jayanagar,20,Rainy,1,0,Zomato
Marathahalli,15,Rainy,0,0,Swiggy
Marathahalli,16,Clear,0,1,Swiggy
Hebbal,18,Clear,0,0,Swiggy
